t,L_sum,L_0,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9
1000000.0,2.5371854846448966e+39,1.9518079872796087e+40,1.0253584603859406e+41,6.31943353769849e+39,2.464210610433409e+40,3.394473193664368e+39,1.1828427812046177e+41,4.7753926294449316e+39,9.800673356308025e+40,3.750636999649031e+40,1.010837142347117e+41
1136463.6663857242,2.5371855616022516e+39,1.9518079302489715e+40,1.025358430400375e+41,6.319433355360967e+39,2.464210538547821e+40,3.394473097642047e+39,1.1828427465437386e+41,4.775392550732255e+39,9.800673069504158e+40,3.7506368951118806e+40,1.0108371127025217e+41
1291549.6650148828,2.5371856290339094e+39,1.951807869282175e+40,1.0253583983475904e+41,6.319433160224382e+39,2.464210461689945e+40,3.39447299469903e+39,1.1828427094998155e+41,4.775392460814906e+39,9.80067276294665e+40,3.7506367828762e+40,1.0108370810223625e+41
1467799.2676220676,2.5371856860908753e+39,1.9518078042514946e+40,1.0253583641606145e+41,6.319432951863638e+39,2.4642103796979365e+40,3.394472884597395e+39,1.182842669995934e+41,4.775392359088479e+39,9.800672435996223e+40,3.750636662672604e+40,1.010837047240996e+41
1668100.537200059,2.537185732114952e+39,1.9518077350295978e+40,1.0253583277726531e+41,6.319432729857526e+39,2.4642102924105865e+40,3.3944727671034734e+39,1.1828426279553122e+41,4.775392245019442e+39,9.80067208801511e+40,3.7506365342384197e+40,1.0108370112928573e+41
1895735.6524063754,2.5371857666026656e+39,1.9518076614895345e+40,1.0253582891170893e+41,6.319432493788163e+39,2.4642101996672673e+40,3.3944726419871416e+39,1.1828425833013043e+41,4.775392118134476e+39,9.800671718367026e+40,3.7506363973166816e+40,1.0108369731124688e+41
2154434.6900318824,2.5371857891771018e+39,1.951807583504726e+40,1.0253582481274807e+41,6.319432243240879e+39,2.464210101307929e+40,3.394472509021641e+39,1.1828425359574086e+41,4.7753919780116946e+39,9.80067132641719e+40,3.7506362516553373e+40,1.010836932634455e+41
2448436.746822224,2.5371857995645986e+39,1.951807500948957e+40,1.0253582047375571e+41,6.319431977803613e+39,2.464209997173042e+40,3.394472367982879e+39,1.182842485847272e+41,4.775391824272772e+39,9.800670911532337e+40,3.750636097006562e+40,1.0108368897935528e+41
2782559.4022071203,2.53718579757579e+39,1.951807413696367e+40,1.0253581588812209e+41,6.319431697067111e+39,2.4642098871036215e+40,3.394472218649553e+39,1.1828424328946995e+41,4.7753916565763467e+39,9.80067047308075e+40,3.7506359331261794e+40,1.0108368445246235e+41
3162277.6601683795,2.5371857830893576e+39,1.9518073216214436e+40,1.0253581104925423e+41,6.31943140062436e+39,2.4642097709411726e+40,3.3944720608025216e+39,1.1828423770236527e+41,4.7753914746115983e+39,9.800670010432215e+40,3.7506357597730855e+40,1.0108367967626538e+41
